First Name,Last Name,Email,Phone,Gender,Date Of Birth,Marital Status,Member Status,Street,City,State,Country,Date Joined,Campus,Leadership Role,District,District Role,Ministry,Ministry Role,Unit,Unit Role,Occupation
John,Adebayo,john.adebayo@email.com,+2348012345678,Male,1985-03-15,Married,LXL,12 Victoria Island,Lagos,Lagos,Nigeria,2020-01-15,Main Campus,Senior Pastor,,,,,,CEO
Sarah,Okonkwo,sarah.okonkwo@email.com,+2348023456789,Female,1990-07-22,Single,DC,45 Ikeja GRA,Lagos,Lagos,Nigeria,2019-06-20,Main Campus,Associate Pastor,Lekki District,,Choir Ministry,Ministry Director,Soprano Unit,Unit Head,Accountant
Michael,Eze,michael.eze@email.com,+2348034567890,Male,1988-11-08,Married,DC,78 Surulere,Lagos,Lagos,Nigeria,2021-03-10,Main Campus,Campus Pastor,Ikeja District,,Media Ministry,,,Teacher
Grace,Nnamdi,grace.nnamdi@email.com,+2348045678901,Female,1995-02-28,Single,DC,23 Yaba,Lagos,Lagos,Nigeria,2022-08-05,Main Campus,,Ikeja District,District Champ,Ushering Ministry,Ministry Director,Protocol Unit,Unit Head,Nurse
David,Okafor,david.okafor@email.com,+2348056789012,Male,1992-09-14,Single,Member,56 Ajah,Lagos,Lagos,Nigeria,2023-01-20,Main Campus,,Ikeja District,District Champ,Ushering Ministry,,Protocol Unit,Assistant Head,Designer
Emmanuel,Bassey,emmanuel.bassey@email.com,+2348067890123,Male,1987-05-30,Married,Member,89 Ikoyi,Lagos,Lagos,Nigeria,2018-11-15,Main Campus,,Lekki District,,Media Ministry,,Sound Unit,Unit Head,Engineer
Blessing,Uche,blessing.uche@email.com,+2348078901234,Female,1993-12-03,Single,Member,34 Festac,Lagos,Lagos,Nigeria,2022-04-18,Festac Campus,Associate Pastor,Festac District,,Children Ministry,Ministry Director,Teachers Unit,Unit Head,Social Worker
Daniel,Amadi,daniel.amadi@email.com,+2348089012345,Male,1991-08-19,Married,DC,67 Apapa,Lagos,Lagos,Nigeria,2020-09-25,Festac Campus,,Festac District,District Champ,Children Ministry,,Helpers Unit,Unit Head,Banker
Chioma,Okoro,chioma.okoro@email.com,+2348090123456,Female,1996-04-11,Single,Member,12 Maryland,Lagos,Lagos,Nigeria,2023-06-01,Main Campus,,Lekki District,,Choir Ministry,,Soprano Unit,,Marketing Executive
Peter,Uwah,peter.uwah@email.com,+2348001234567,Male,1984-01-25,Married,LXL,90 Allen Avenue,Lagos,Lagos,Nigeria,2017-02-14,Main Campus,,Ikeja District,,Ushering Ministry,,Parking Unit,Unit Head,Architect
